"Date","Births"
1948-01-01,295
1948-02-01,286
1948-03-01,300
1948-04-01,278
1948-05-01,272
1948-06-01,268
1948-07-01,308
1948-08-01,321
1948-09-01,313
1948-10-01,308
1948-11-01,291
1948-12-01,296
1949-01-01,294
1949-02-01,273
1949-03-01,300
1949-04-01,271
1949-05-01,282
1949-06-01,285
1949-07-01,318
1949-08-01,323
1949-09-01,313
1949-10-01,311
1949-11-01,291
1949-12-01,293
1950-01-01,297
1950-02-01,273
1950-03-01,294
1950-04-01,259
1950-05-01,276
1950-06-01,294
1950-07-01,316
1950-08-01,325
1950-09-01,315
1950-10-01,312
1950-11-01,292
1950-12-01,301
1951-01-01,304
1951-02-01,282
1951-03-01,313
1951-04-01,296
1951-05-01,313
1951-06-01,307
1951-07-01,328
1951-08-01,334
1951-09-01,329
1951-10-01,329
1951-11-01,304
1951-12-01,312
1952-01-01,312
1952-02-01,300
1952-03-01,317
1952-04-01,292
1952-05-01,300
1952-06-01,311
1952-07-01,345
1952-08-01,350
1952-09-01,344
1952-10-01,336
1952-11-01,315
1952-12-01,323
1953-01-01,322
1953-02-01,296
1953-03-01,315
1953-04-01,287
1953-05-01,307
1953-06-01,321
1953-07-01,354
1953-08-01,356
1953-09-01,348
1953-10-01,334
1953-11-01,320
1953-12-01,340
1954-01-01,332
1954-02-01,302
1954-03-01,324
1954-04-01,305
1954-05-01,318
1954-06-01,329
1954-07-01,359
1954-08-01,363
1954-09-01,359
1954-10-01,352
1954-11-01,335
1954-12-01,342
1955-01-01,329
1955-02-01,306
1955-03-01,332
1955-04-01,309
1955-05-01,326
1955-06-01,325
1955-07-01,354
1955-08-01,367
1955-09-01,362
1955-10-01,354
1955-11-01,337
1955-12-01,345
1956-01-01,339
1956-02-01,325
1956-03-01,345
1956-04-01,309
1956-05-01,315
1956-06-01,334
1956-07-01,370
1956-08-01,383
1956-09-01,375
1956-10-01,370
1956-11-01,344
1956-12-01,355
1957-01-01,346
1957-02-01,317
1957-03-01,348
1957-04-01,331
1957-05-01,345
1957-06-01,348
1957-07-01,380
1957-08-01,381
1957-09-01,377
1957-10-01,376
1957-11-01,348
1957-12-01,356
1958-01-01,344
1958-02-01,320
1958-03-01,347
1958-04-01,326
1958-05-01,343
1958-06-01,338
1958-07-01,361
1958-08-01,368
1958-09-01,378
1958-10-01,374
1958-11-01,347
1958-12-01,358
1959-01-01,349
1959-02-01,323
1959-03-01,358
1959-04-01,331
1959-05-01,338
1959-06-01,343
1959-07-01,374
1959-08-01,380
1959-09-01,377
1959-10-01,368
1959-11-01,346
1959-12-01,358
1960-01-01,338
1960-02-01,329
1960-03-01,347
1960-04-01,327
1960-05-01,335
1960-06-01,336
1960-07-01,370
1960-08-01,399
1960-09-01,385
1960-10-01,368
1960-11-01,351
1960-12-01,362
1961-01-01,358
1961-02-01,333
1961-03-01,356
1961-04-01,335
1961-05-01,348
1961-06-01,346
1961-07-01,374
1961-08-01,386
1961-09-01,384
1961-10-01,372
1961-11-01,343
1961-12-01,346
1962-01-01,346
1962-02-01,318
1962-03-01,359
1962-04-01,328
1962-05-01,333
1962-06-01,329
1962-07-01,366
1962-08-01,373
1962-09-01,367
1962-10-01,363
1962-11-01,337
1962-12-01,346
1963-01-01,355
1963-02-01,314
1963-03-01,343
1963-04-01,322
1963-05-01,336
1963-06-01,327
1963-07-01,362
1963-08-01,366
1963-09-01,361
1963-10-01,358
1963-11-01,327
1963-12-01,330
1964-01-01,336
1964-02-01,326
1964-03-01,337
1964-04-01,316
1964-05-01,331
1964-06-01,331
1964-07-01,359
1964-08-01,350
1964-09-01,356
1964-10-01,347
1964-11-01,328
1964-12-01,336
1965-01-01,315
1965-02-01,292
1965-03-01,322
1965-04-01,291
1965-05-01,302
1965-06-01,310
1965-07-01,330
1965-08-01,335
1965-09-01,333
1965-10-01,318
1965-11-01,305
1965-12-01,313
1966-01-01,301
1966-02-01,281
1966-03-01,302
1966-04-01,291
1966-05-01,297
1966-06-01,291
1966-07-01,311
1966-08-01,319
1966-09-01,317
1966-10-01,317
1966-11-01,296
1966-12-01,307
1967-01-01,295
1967-02-01,265
1967-03-01,300
1967-04-01,271
1967-05-01,291
1967-06-01,290
1967-07-01,310
1967-08-01,318
1967-09-01,310
1967-10-01,304
1967-11-01,285
1967-12-01,288
1968-01-01,277
1968-02-01,260
1968-03-01,282
1968-04-01,274
1968-05-01,288
1968-06-01,287
1968-07-01,308
1968-08-01,312
1968-09-01,306
1968-10-01,304
1968-11-01,282
1968-12-01,305
1969-01-01,284
1969-02-01,273
1969-03-01,286
1969-04-01,284
1969-05-01,294
1969-06-01,288
1969-07-01,315
1969-08-01,322
1969-09-01,317
1969-10-01,309
1969-11-01,295
1969-12-01,306
1970-01-01,300
1970-02-01,275
1970-03-01,301
1970-04-01,292
1970-05-01,298
1970-06-01,306
1970-07-01,326
1970-08-01,332
1970-09-01,329
1970-10-01,328
1970-11-01,308
1970-12-01,324
1971-01-01,299
1971-02-01,284
1971-03-01,306
1971-04-01,290
1971-05-01,292
1971-06-01,285
1971-07-01,295
1971-08-01,306
1971-09-01,317
1971-10-01,305
1971-11-01,294
1971-12-01,287
1972-01-01,278
1972-02-01,261
1972-03-01,275
1972-04-01,256
1972-05-01,270
1972-06-01,264
1972-07-01,265
1972-08-01,284
1972-09-01,284
1972-10-01,275
1972-11-01,269
1972-12-01,275
1973-01-01,259
1973-02-01,244
1973-03-01,267
1973-04-01,255
1973-05-01,260
1973-06-01,253
1973-07-01,267
1973-08-01,277
1973-09-01,277
1973-10-01,264
1973-11-01,255
1973-12-01,260
1974-01-01,261
1974-02-01,238
1974-03-01,257
1974-04-01,246
1974-05-01,254
1974-06-01,255
1974-07-01,273
1974-08-01,276
1974-09-01,286
1974-10-01,283
1974-11-01,261
1974-12-01,276
1975-01-01,264
1975-02-01,243
1975-03-01,259
1975-04-01,250
1975-05-01,262
1975-06-01,253
1975-07-01,280
1975-08-01,288
1975-09-01,270
1975-10-01,273
1975-11-01,241
1975-12-01,266
1976-01-01,257
1976-02-01,242
1976-03-01,266
1976-04-01,241
1976-05-01,252
1976-06-01,250
1976-07-01,281
1976-08-01,278
1976-09-01,286
1976-10-01,278
1976-11-01,260
1976-12-01,272
1977-01-01,274
1977-02-01,256
1977-03-01,276
1977-04-01,259
1977-05-01,273
1977-06-01,272
1977-07-01,297
1977-08-01,296
1977-09-01,290
1977-10-01,282
1977-11-01,262
1977-12-01,275
1978-01-01,262
1978-02-01,251
1978-03-01,285
1978-04-01,260
1978-05-01,272
1978-06-01,265
1978-07-01,296
1978-08-01,312
1978-09-01,289
1978-10-01,282
1978-11-01,274
1978-12-01,281
1979-01-01,277
